,Unnamed: 0,year,team,rank_regular,rank_playoffs,team_normalized
717,717,2010,Sacramento Kings,28,-1,sacramento kings
718,718,2010,Minnesota Timberwolves,29,-1,minnesota timberwolves
719,719,2010,New Jersey Nets,30,-1,brooklyn nets
720,720,2011,Chicago Bulls,1,2,chicago bulls
721,721,2011,San Antonio Spurs,2,0,san antonio spurs
722,722,2011,Miami Heat,3,3,miami heat
723,723,2011,Dallas Mavericks,4,4,dallas mavericks
724,724,2011,Los Angeles Lakers,5,1,los angeles lakers
725,725,2011,Boston Celtics,6,1,boston celtics
726,726,2011,Oklahoma City Thunder,7,2,oklahoma city thunder
727,727,2011,Orlando Magic,8,0,orlando magic
728,728,2011,Denver Nuggets,9,0,denver nuggets
729,729,2011,Portland Trail Blazers,10,0,portland trail blazers
730,730,2011,Memphis Grizzlies,11,1,memphis grizzlies
731,731,2011,New Orleans Hornets,12,0,new orleans pelicans
732,732,2011,Atlanta Hawks,13,1,atlanta hawks
733,733,2011,Houston Rockets,14,-1,houston rockets
734,734,2011,New York Knicks,15,0,new york knicks
735,735,2011,Philadelphia 76ers,16,0,philadelphia 76ers
736,736,2011,Phoenix Suns,17,-1,phoenix suns
737,737,2011,Utah Jazz,18,-1,utah jazz
738,738,2011,Indiana Pacers,19,0,indiana pacers
739,739,2011,Golden State Warriors,20,-1,golden state warriors
740,740,2011,Milwaukee Bucks,21,-1,milwaukee bucks
741,741,2011,Charlotte Bobcats,22,-1,charlotte hornets
742,742,2011,Los Angeles Clippers,23,-1,los angeles clippers
743,743,2011,Detroit Pistons,24,-1,detroit pistons
744,744,2011,New Jersey Nets,25,-1,brooklyn nets
745,745,2011,Sacramento Kings,26,-1,sacramento kings
746,746,2011,Washington Wizards,27,-1,washington wizards
747,747,2011,Toronto Raptors,28,-1,toronto raptors
748,748,2011,Cleveland Cavaliers,29,-1,cleveland cavaliers
749,749,2011,Minnesota Timberwolves,30,-1,minnesota timberwolves
750,750,2012,Chicago Bulls,1,0,chicago bulls
751,751,2012,San Antonio Spurs,2,2,san antonio spurs
752,752,2012,Oklahoma City Thunder,3,3,oklahoma city thunder
753,753,2012,Miami Heat,4,4,miami heat
754,754,2012,Indiana Pacers,5,1,indiana pacers
755,755,2012,Los Angeles Lakers,6,1,los angeles lakers
756,756,2012,Memphis Grizzlies,7,0,memphis grizzlies
757,757,2012,Atlanta Hawks,8,0,atlanta hawks
758,758,2012,Los Angeles Clippers,9,1,los angeles clippers
759,759,2012,Boston Celtics,10,2,boston celtics
760,760,2012,Denver Nuggets,11,0,denver nuggets
761,761,2012,Orlando Magic,12,0,orlando magic
762,762,2012,Dallas Mavericks,13,0,dallas mavericks
763,763,2012,New York Knicks,14,0,new york knicks
764,764,2012,Utah Jazz,15,0,utah jazz
765,765,2012,Philadelphia 76ers,16,1,philadelphia 76ers
766,766,2012,Houston Rockets,17,-1,houston rockets
767,767,2012,Phoenix Suns,18,-1,phoenix suns
768,768,2012,Milwaukee Bucks,19,-1,milwaukee bucks
769,769,2012,Portland Trail Blazers,20,-1,portland trail blazers
770,770,2012,Minnesota Timberwolves,21,-1,minnesota timberwolves
771,771,2012,Detroit Pistons,22,-1,detroit pistons
772,772,2012,Golden State Warriors,23,-1,golden state warriors
773,773,2012,Toronto Raptors,24,-1,toronto raptors
774,774,2012,New Jersey Nets,25,-1,brooklyn nets
775,775,2012,Sacramento Kings,26,-1,sacramento kings
776,776,2012,Cleveland Cavaliers,27,-1,cleveland cavaliers
777,777,2012,New Orleans Hornets,28,-1,new orleans pelicans
778,778,2012,Washington Wizards,29,-1,washington wizards
779,779,2012,Charlotte Bobcats,30,-1,charlotte hornets
780,780,2013,Miami Heat,1,4,miami heat
781,781,2013,Oklahoma City Thunder,2,1,oklahoma city thunder
782,782,2013,San Antonio Spurs,3,3,san antonio spurs
783,783,2013,Denver Nuggets,4,0,denver nuggets
784,784,2013,Los Angeles Clippers,5,0,los angeles clippers
785,785,2013,Memphis Grizzlies,6,2,memphis grizzlies
786,786,2013,New York Knicks,7,1,new york knicks
787,787,2013,Brooklyn Nets,8,0,brooklyn nets
788,788,2013,Indiana Pacers,9,2,indiana pacers
789,789,2013,Golden State Warriors,10,1,golden state warriors
790,790,2013,Chicago Bulls,11,1,chicago bulls
791,791,2013,Houston Rockets,12,0,houston rockets
792,792,2013,Los Angeles Lakers,13,0,los angeles lakers
793,793,2013,Atlanta Hawks,14,0,atlanta hawks
794,794,2013,Utah Jazz,15,-1,utah jazz
795,795,2013,Boston Celtics,16,0,boston celtics
796,796,2013,Dallas Mavericks,17,-1,dallas mavericks
797,797,2013,Milwaukee Bucks,18,0,milwaukee bucks
798,798,2013,Philadelphia 76ers,19,-1,philadelphia 76ers
799,799,2013,Toronto Raptors,20,-1,toronto raptors
800,800,2013,Portland Trail Blazers,21,-1,portland trail blazers
801,801,2013,Minnesota Timberwolves,22,-1,minnesota timberwolves
802,802,2013,Detroit Pistons,23,-1,detroit pistons
803,803,2013,Washington Wizards,24,-1,washington wizards
804,804,2013,Sacramento Kings,25,-1,sacramento kings
805,805,2013,New Orleans Hornets,26,-1,new orleans pelicans
806,806,2013,Phoenix Suns,27,-1,phoenix suns
807,807,2013,Cleveland Cavaliers,28,-1,cleveland cavaliers
808,808,2013,Charlotte Bobcats,29,-1,charlotte hornets
